Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2022-12-15 00:00:00-05:00,19.5,19.549999237060547,18.600000381469727,18.600000381469727,20300,0.0,0.0
2022-12-16 00:00:00-05:00,18.600000381469727,19.0,18.5,18.799999237060547,4200,0.0,0.0
2022-12-19 00:00:00-05:00,18.799999237060547,18.799999237060547,18.299999237060547,18.600000381469727,1600,0.0,0.0
2022-12-20 00:00:00-05:00,18.6200008392334,18.6200008392334,18.399999618530273,18.5,9600,0.0,0.0
2022-12-21 00:00:00-05:00,18.600000381469727,18.600000381469727,18.600000381469727,18.600000381469727,300,0.0,0.0
2022-12-22 00:00:00-05:00,18.549999237060547,18.600000381469727,18.399999618530273,18.600000381469727,2900,0.0,0.0
2022-12-23 00:00:00-05:00,18.549999237060547,18.610000610351562,18.549999237060547,18.610000610351562,2200,0.0,0.0
2022-12-27 00:00:00-05:00,18.600000381469727,18.600000381469727,18.549999237060547,18.549999237060547,3100,0.0,0.0
2022-12-28 00:00:00-05:00,18.549999237060547,18.549999237060547,18.0,18.549999237060547,1100,0.0,0.0
2022-12-29 00:00:00-05:00,18.5,18.5,18.0,18.0,400,0.0,0.0
2022-12-30 00:00:00-05:00,18.399999618530273,19.489999771118164,18.399999618530273,19.0,5000,0.0,0.0
2023-01-03 00:00:00-05:00,19.0,19.0,18.399999618530273,18.399999618530273,2800,0.0,0.0
2023-01-04 00:00:00-05:00,18.799999237060547,19.0,18.790000915527344,18.790000915527344,1300,0.0,0.0
2023-01-05 00:00:00-05:00,18.649999618530273,18.700000762939453,18.649999618530273,18.700000762939453,900,0.0,0.0
2023-01-06 00:00:00-05:00,18.5,18.649999618530273,18.5,18.549999237060547,1100,0.0,0.0
2023-01-09 00:00:00-05:00,19.0,19.0,18.5,18.600000381469727,3700,0.0,0.0
2023-01-10 00:00:00-05:00,19.399999618530273,20.100000381469727,19.0,19.100000381469727,8800,0.0,0.0
2023-01-11 00:00:00-05:00,19.100000381469727,19.149999618530273,19.100000381469727,19.100000381469727,600,0.0,0.0
2023-01-12 00:00:00-05:00,19.100000381469727,19.100000381469727,19.100000381469727,19.100000381469727,0,0.0,0.0
2023-01-13 00:00:00-05:00,19.09000015258789,19.25,19.0,19.049999237060547,2200,0.0,0.0
2023-01-17 00:00:00-05:00,19.049999237060547,19.149999618530273,19.0,19.0,4000,0.0,0.0
2023-01-18 00:00:00-05:00,19.18000030517578,19.18000030517578,18.600000381469727,18.600000381469727,2400,0.0,0.0
2023-01-19 00:00:00-05:00,18.700000762939453,18.700000762939453,18.479999542236328,18.5,2900,0.0,0.0
2023-01-20 00:00:00-05:00,18.899999618530273,18.969999313354492,18.549999237060547,18.969999313354492,3300,0.0,0.0
2023-01-23 00:00:00-05:00,19.100000381469727,19.18000030517578,19.0,19.0,4900,0.0,0.0
2023-01-24 00:00:00-05:00,19.0,19.040000915527344,18.799999237060547,19.0,2800,0.0,0.0
2023-01-25 00:00:00-05:00,18.600000381469727,19.170000076293945,18.600000381469727,19.0,2800,0.0,0.0
2023-01-26 00:00:00-05:00,19.0,19.049999237060547,19.0,19.0,1800,0.0,0.0
2023-01-27 00:00:00-05:00,19.200000762939453,19.260000228881836,18.6299991607666,19.0,4700,0.0,0.0
2023-01-30 00:00:00-05:00,19.0,19.100000381469727,18.899999618530273,19.0,3200,0.0,0.0
2023-01-31 00:00:00-05:00,18.989999771118164,19.049999237060547,18.979999542236328,18.989999771118164,17900,0.0,0.0
2023-02-01 00:00:00-05:00,19.0,19.0,18.799999237060547,19.0,5300,0.0,0.0
2023-02-02 00:00:00-05:00,19.049999237060547,19.239999771118164,19.0,19.0,5700,0.0,0.0
2023-02-03 00:00:00-05:00,19.239999771118164,19.25,19.1299991607666,19.25,2900,0.0,0.0
2023-02-06 00:00:00-05:00,19.25,19.25,19.0,19.0,2600,0.0,0.0
2023-02-07 00:00:00-05:00,19.5,19.5,19.0,19.25,4100,0.0,0.0
2023-02-08 00:00:00-05:00,19.25,19.25,18.700000762939453,18.799999237060547,8900,0.0,0.0
2023-02-09 00:00:00-05:00,19.0,19.0,18.649999618530273,18.649999618530273,5000,0.0,0.0
2023-02-10 00:00:00-05:00,18.6299991607666,18.639999389648438,18.600000381469727,18.600000381469727,3600,0.0,0.0
2023-02-13 00:00:00-05:00,18.5,18.709999084472656,18.5,18.5,5300,0.0,0.0
2023-02-14 00:00:00-05:00,18.530000686645508,18.75,18.0,18.5,15600,0.0,0.0
2023-02-15 00:00:00-05:00,18.5,18.5,18.25,18.5,2000,0.0,0.0
2023-02-16 00:00:00-05:00,18.299999237060547,18.299999237060547,17.940000534057617,17.959999084472656,14400,0.0,0.0
2023-02-17 00:00:00-05:00,17.809999465942383,18.049999237060547,17.75,18.049999237060547,1800,0.0,0.0
2023-02-21 00:00:00-05:00,18.059999465942383,18.209999084472656,18.059999465942383,18.200000762939453,12200,0.0,0.0
2023-02-22 00:00:00-05:00,18.200000762939453,18.290000915527344,18.200000762939453,18.290000915527344,3600,0.0,0.0
2023-02-23 00:00:00-05:00,18.200000762939453,18.200000762939453,18.0,18.0,4800,0.0,0.0
2023-02-24 00:00:00-05:00,17.950000762939453,18.3799991607666,17.950000762939453,18.3799991607666,600,0.0,0.0
2023-02-27 00:00:00-05:00,18.280000686645508,18.280000686645508,17.739999771118164,17.75,4400,0.0,0.0
